228    0.0011	# Extrapolated
333.2746	0.19880845070422537
333.4309	0.19915211267605634
333.5873	0.19961032863849762
333.7436	0.19989671361502345
333.8999	0.20029765258215965
334.0563	0.20069859154929579
334.2126	0.20109953051643192
334.369	0.20155774647887323
334.5253	0.2019586854460094
334.6817	0.20224507042253523
334.838	0.2026460093896714
334.9944	0.2030469483568075
335.1508	0.20356244131455398
335.3071	0.20396338028169017
335.4635	0.2043643192488263
335.6198	0.20476525821596245
335.7762	0.20522347417840378
335.9325	0.20568169014084506
336.0889	0.2061399061032864
336.2452	0.2065408450704225
336.4016	0.207056338028169
336.5579	0.20745727699530517
336.7143	0.20797276995305164
336.8706	0.2083737089201878
337.027	0.20888920187793428
337.1834	0.20934741784037558
337.3397	0.20986291079812208
337.4961	0.21026384976525822
337.6524	0.21072206572769955
337.8088	0.2112948356807512
337.9651	0.21181032863849766
338.1215	0.2123258215962441
338.2779	0.21295586854460094
338.4343	0.21352863849765258
338.5906	0.2141586854460094
338.7469	0.21478873239436622
338.9034	0.21536150234741785
339.0597	0.216106103286385
339.2161	0.21679342723004696
339.3725	0.21753802816901413
339.5289	0.21822535211267607
339.6853	0.21891267605633802
339.8417	0.21965727699530518
339.998	0.2204018779342723
340.1544	0.2210892018779343
340.3108	0.2217192488262911
340.4672	0.22240657276995304
340.6235	0.2230366197183099
340.7799	0.22360938967136154
340.9363	0.22412488262910799
341.0926	0.22458309859154932
341.249	0.22515586854460096
341.4053	0.22567136150234743
341.5617	0.22607230046948357
341.7181	0.22658779342723007
341.8744	0.2269887323943662
342.0308	0.22738967136150234
342.1871	0.22773333333333334
342.3435	0.22807699530516434
342.4998	0.22853521126760565
342.6561	0.22882159624413145
342.8125	0.2291079812206573
342.9687	0.22945164319248829
343.1252	0.2297380281690141
343.2814	0.23002441314553992
343.4378	0.2303680751173709
343.5941	0.23065446009389673
343.7505	0.23094084507042256
343.9069	0.2311699530516432
344.0632	0.23145633802816903
344.2195	0.2316854460093897
344.3759	0.23185727699530514
344.5322	0.23220093896713614
344.6885	0.23237276995305164
344.8449	0.2326018779342723
345.0012	0.23277370892018778
345.1575	0.23300281690140845
345.3139	0.23323192488262912
345.4702	0.23340375586854462
345.6265	0.23363286384976525
345.7829	0.23380469483568075
345.9392	0.23403380281690142
346.0955	0.2342056338028169
346.2518	0.2344347417840376
346.4082	0.2345492957746479
346.5645	0.2347211267605634
346.7208	0.23495023474178406
346.8772	0.2350647887323944
347.0335	0.2353511737089202
